date,national_wind_mw,national_wind_cf_pct,ercot_wind_mw,pjm_wind_mw,miso_wind_mw,spp_wind_mw
2026-03-13,64648,58.8,23011,7828,15894,17915
2026-03-14,37093,33.7,13368,7852,10058,17915
2026-03-15,56414,51.3,25516,6816,22848,17915
2026-03-16,52339,47.6,23648,8966,21670,17915
2026-03-17,40557,36.9,7476,9644,20748,17915
2026-03-18,47500,43.2,23646,2705,18900,17915
2026-03-19,31332,28.5,15083,1153,6278,19567
2026-03-20,23429,21.3,17488,1530,6278,6003
2026-03-21,25345,23.0,18071,5002,5523,6148
2026-03-22,40477,36.8,21216,5808,17949,6148
2026-03-23,54096,49.2,24377,7795,18648,19786
2026-03-24,34354,31.2,5350,3723,14076,20002
