date,natural_gas_mw,coal_mw,nuclear_mw,total_thermal_mw,gas_pct_thermal,load_mw,gas_pct_load,wind_mw,sample_hours
2026-03-13,145000,39000.0,93000,277000.0,52.3,,,,24
2026-03-14,73328,27762.0,34577,135667.0,54.0,208137.0,35.2,37093.0,24
2026-03-15,60670,25790.0,33209,119669.0,50.7,204089.0,29.7,56414.0,24
2026-03-16,64397,27592.0,33572,125561.0,51.3,206015.0,31.3,52339.0,24
2026-03-17,83428,31935.0,34132,149495.0,55.8,223761.0,37.3,40557.0,24
2026-03-18,80500,32541.0,34286,147327.0,54.6,231499.0,34.8,47500.0,24
2026-03-19,88691,33328.0,34258,156277.0,56.8,222932.0,39.8,31332.0,24
2026-03-20,91930,35131.0,34183,161244.0,57.0,220389.0,41.7,23429.0,24
2026-03-21,85371,34015.0,33707,153093.0,55.8,215864.0,39.5,25345.0,24
2026-03-22,69968,31727.0,33182,134877.0,51.9,208960.0,33.5,40477.0,24
2026-03-23,68080,29650.0,32582,130312.0,52.2,210654.0,32.3,54096.0,24
2026-03-24,86295,30233.0,31935,148463.0,58.1,218058.0,39.6,34354.0,24
2026-03-25,78189,31993.0,31891,142073.0,55.0,217654.0,35.9,39467.0,24
2026-03-26,73642,30802.0,31759,136203.0,54.1,219845.0,33.5,46101.0,24
2026-03-27,69660,26752.0,31776,128188.0,54.3,221287.0,31.5,57982.0,24
2026-03-28,75775,25534.0,32075,133384.0,56.8,210236.0,36.0,47478.0,24
2026-03-29,69643,22645.0,32025,124313.0,56.0,198808.0,35.0,43776.0,24
2026-03-30,65770,22457.0,32402,120629.0,54.5,204032.0,32.2,48907.0,24
2026-03-31,70747,25313.0,32072,128132.0,55.2,216101.0,32.7,52314.0,24
2026-04-01,77824,27625.0,32225,137674.0,56.5,218638.0,35.6,52783.0,24
2026-04-02,70254,29540.0,32579,132373.0,53.1,218163.0,32.2,55265.0,24
2026-04-03,69928,30437.0,32580,132945.0,52.6,214849.0,32.5,49299.0,24
2026-04-04,69425,27637.0,33392,130454.0,53.2,207706.0,33.4,44006.0,24
2026-04-05,64318,24912.0,32377,121607.0,52.9,196685.0,32.7,46755.0,24
2026-04-06,66412,23538.0,32259,122209.0,54.3,187790.0,35.4,33032.0,24
2026-04-07,74499,26629.0,30503,131631.0,56.6,205148.0,36.3,32967.0,24
2026-04-08,73082,25489.0,30335,128906.0,56.7,209591.0,34.9,41809.0,24
2026-04-09,68518,24913.0,30230,123661.0,55.4,209925.0,32.6,51500.0,24
2026-04-10,74689,26921.0,30183,131793.0,56.7,209393.0,35.7,44191.0,24
2026-04-11,76133,28731.0,29986,134850.0,56.5,203119.0,37.5,36654.0,24
2026-04-12,64328,24361.0,29662,118351.0,54.4,197099.0,32.6,50235.0,24
2026-04-13,62472,25662.0,29262,117396.0,53.2,203080.0,30.8,56011.0,24
2026-04-14,75702,31055.0,28904,135661.0,55.8,220951.0,34.3,54378.0,24
2026-04-15,83049,32541.0,29540,145130.0,57.2,226509.0,36.7,50280.0,24
2026-04-16,88548,34465.0,29536,152549.0,58.0,224901.0,39.4,37531.0,24
2026-04-17,82174,30879.0,29477,142530.0,57.7,228916.0,35.9,51388.0,24
2026-04-18,74311,26523.0,29546,130380.0,57.0,217138.0,34.2,54925.0,24
2026-04-19,69708,24279.0,29868,123855.0,56.3,190746.0,36.5,32507.0,24
2026-04-20,69532,23758.0,29975,123265.0,56.4,193238.0,36.0,31642.0,24
2026-04-21,64307,22778.0,28143,115228.0,55.8,171833.0,37.4,19762.0,24
2026-04-22,70589,23296.0,29499,123384.0,57.2,206164.0,34.2,46816.0,24
2026-04-23,72422,27549.0,29465,129436.0,56.0,212137.0,34.1,43325.0,24
2026-04-24,16744,0.0,1354,18098.0,92.5,28573.0,58.6,723.0,24
2026-04-25,84733,31349.0,31798,147880.0,57.3,209679.0,40.4,24316.0,24
2026-04-26,75812,27036.0,32317,135165.0,56.1,204132.0,37.1,35184.0,24
2026-04-27,62536,22222.0,30990,115748.0,54.0,184773.0,33.8,39019.0,24
2026-04-28,78602,27238.0,32313,138153.0,56.9,219289.0,35.8,41536.0,24
2026-04-29,88493,30694.0,32355,151542.0,58.4,216656.0,40.8,25559.0,24
2026-04-30,85388,29552.0,32251,147191.0,58.0,209574.0,40.7,33086.0,24
2026-05-01,86277,29744.0,32329,148350.0,58.2,205553.0,42.0,23608.0,24
2026-05-02,77709,30297.0,32638,140644.0,55.3,194532.0,39.9,19448.0,24
2026-05-03,70136,27007.0,32912,130055.0,53.9,189810.0,37.0,22047.0,24
2026-05-04,61766,26307.0,32308,120381.0,51.3,199250.0,31.0,40346.0,24
2026-05-05,60163,27133.0,32370,119666.0,50.3,213524.0,28.2,52213.0,24
2026-05-06,82606,26855.0,32978,142439.0,58.0,214107.0,38.6,41177.0,24
2026-05-07,73521,25757.0,31746,131024.0,56.1,185608.0,39.6,18534.0,24
2026-05-08,69930,24380.0,32346,126656.0,55.2,183661.0,38.1,18142.0,24
2026-05-09,71237,26452.0,34313,132002.0,54.0,203552.0,35.0,33631.0,24
2026-05-10,67475,25149.0,34545,127169.0,53.1,207441.0,32.5,44546.0,24
2026-05-11,72208,27844.0,35010,135062.0,53.5,206599.0,35.0,35318.0,24
2026-05-15,72168,25703.0,35045,132916.0,54.3,223361.0,32.3,52906.0,24
2026-05-16,69079,26630.0,35300,131009.0,52.7,221517.0,31.2,56490.0,24
2026-05-17,70007,29291.0,35158,134456.0,52.1,222383.0,31.5,53668.0,24
2026-05-18,73228,27575.0,34855,135658.0,54.0,210395.0,34.8,41548.0,24
2026-05-19,94208,34303.0,35553,164064.0,57.4,253246.0,37.2,50744.0,24
2026-05-20,104876,37222.0,35378,177476.0,59.1,246184.0,42.6,28265.0,24
2026-05-21,98099,35067.0,35639,168805.0,58.1,230964.0,42.5,24888.0,24
2026-05-22,80766,27146.0,36532,144444.0,55.9,214823.0,37.6,35203.0,24
2026-05-23,79139,26744.0,36570,142453.0,55.6,216311.0,36.6,40223.0,24
2026-05-24,69482,21755.0,35618,126855.0,54.8,180863.0,38.4,26003.0,24
